portfolio,2p_expected_return, 2p_sharpe_ratio, 2p_volatility,4p_expected_return, 4p_sharpe_ratio, 4p_volatility,maxS_expected_return, maxS_sharpe_ratio, maxS_volatility,minV_expected_return, minV_sharpe_ratio, minV_volatility
GB00B5B71H80_GB00B45Q9038_IE00BH65QH62,0.0135206119235,-0.323969350631,0.0200000032838GB00B5B71H80_GB00B45Q9038_IE00BH65QH62,0.0271834769474,0.179586895385,0.0400000063033GB00B5B71H80_GB00B45Q9038_IE00BH65QH62,0.0458288991076,0.37314622523,0.0692192426485GB00B5B71H80_GB00B45Q9038_IE00BH65QH62,0.0389963148876,0.320810636057,0.0592134821995
GB00B5B71H80_GB00B45Q9038_IE00BFRTDB69,0.0174921425483,-0.0954031833644,0.0262869368012GB00B5B71H80_GB00B45Q9038_IE00BFRTDB69,0.0311955122712,0.279887729684,0.0400000110183GB00B5B71H80_GB00B45Q9038_IE00BFRTDB69,0.0460592593152,0.397319415676,0.0655876815656GB00B5B71H80_GB00B45Q9038_IE00BFRTDB69,0.0427409259617,0.378300096649,0.0601134553311
IE00B50MZ724_GB00BD3RZ582_IE00B9M1BB17,0.0198533400896,-0.00647390878348,0.022653997042IE00B50MZ724_GB00BD3RZ582_IE00B9M1BB17,0.0381930917803,0.454827286128,0.040000000737IE00B50MZ724_GB00BD3RZ582_IE00B9M1BB17,0.0652471793448,0.519390767951,0.0871158713954IE00B50MZ724_GB00BD3RZ582_IE00B9M1BB17,0.0631802526908,0.503371692978,0.0857820439512
GB00B5B71H80_GB00B4M89245_IE00BH65QH62,0.0130512385034,-0.347438071856,0.0200000001713GB00B5B71H80_GB00B4M89245_IE00BH65QH62,0.0264552526782,0.16138130259,0.0400000035604GB00B5B71H80_GB00B4M89245_IE00BH65QH62,0.0397203900263,0.320374898119,0.0615541047131GB00B5B71H80_GB00B4M89245_IE00BH65QH62,0.0339184062159,0.261925319635,0.0531388345169
GB00B3X7QG63_GB00B4M89245_IE00B9M1BB17,0.0204590094031,0.0203672927617,0.0225365937657GB00B3X7QG63_GB00B4M89245_IE00B9M1BB17,0.0362814643653,0.407036604294,0.0400000004754GB00B3X7QG63_GB00B4M89245_IE00B9M1BB17,0.0431019452705,0.440627600935,0.0524296372298GB00B3X7QG63_GB00B4M89245_IE00B9M1BB17,0.0418294380615,0.435150861352,0.0501652185491
IE00B50W2R13_IE00BDFB7639_IE00BFRTDB69,0.0258936328728,0.328264830449,0.0179538967508IE00B50W2R13_IE00BDFB7639_IE00BFRTDB69,0.0258936328728,0.328264830449,0.0179538967508IE00B50W2R13_IE00BDFB7639_IE00BFRTDB69,0.0258936328728,0.328264830449,0.0179538967508IE00B50W2R13_IE00BDFB7639_IE00BFRTDB69,0.0222674446114,0.113888063385,0.0199094140688
IE00B50MZ724_IE00B523L313_GB00B45Q9038,0.0836996814271,0.658163094695,0.0967840371794IE00B50MZ724_IE00B523L313_GB00B45Q9038,0.0836997149701,0.658163441478,0.096784037149IE00B50MZ724_IE00B523L313_GB00B45Q9038,0.0852630909437,0.652223513373,0.100062462646IE00B50MZ724_IE00B523L313_GB00B45Q9038,0.083430837123,0.623996944637,0.101652480302
GB00B5B71H80_GB00B3X7QG63_IE00B50MZ948,0.0476230936507,0.265340097201,0.104104483047GB00B5B71H80_GB00B3X7QG63_IE00B50MZ948,0.0476234379871,0.265343405776,0.104104482666GB00B5B71H80_GB00B3X7QG63_IE00B50MZ948,0.0460135351649,0.245522541615,0.105951718298GB00B5B71H80_GB00B3X7QG63_IE00B50MZ948,0.0451183382644,0.236529449359,0.106195394833
GB00B5B71H80_IE00B523L313_GB00B45Q9038,0.0666248936994,0.536091972458,0.0869718184468GB00B5B71H80_IE00B523L313_GB00B45Q9038,0.0666242665116,0.536084761482,0.0869718183795GB00B5B71H80_IE00B523L313_GB00B45Q9038,0.0788130869506,0.648385877764,0.0907069215532GB00B5B71H80_IE00B523L313_GB00B45Q9038,0.0727206576322,0.591294998587,0.0891613454507
GB00BD3RZ368_IE00BH65QH62_IE00BDFB7639,0.0225555710789,0.127778553941,0.0200000000004GB00BD3RZ368_IE00BH65QH62_IE00BDFB7639,0.0280449870042,0.201124675055,0.0400000000099GB00BD3RZ368_IE00BH65QH62_IE00BDFB7639,0.0312559144758,0.220960733064,0.0509407907901GB00BD3RZ368_IE00BH65QH62_IE00BDFB7639,0.0259227452801,0.147201124324,0.0402357339819
